"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 15, 2015","15.150","14.250","15.150","14.250","230.18K","4.48%"
"Sep 14, 2015","14.500","14.800","15.150","14.150","162.61K","-4.29%"
"Sep 11, 2015","15.150","15.250","15.400","15.000","83.38K","-0.33%"
"Sep 10, 2015","15.200","15.500","15.500","15.150","118.82K","-0.33%"
"Sep 09, 2015","15.250","15.450","15.600","15.150","396.59K","-1.61%"
"Sep 08, 2015","15.500","15.500","15.950","15.350","255.66K","-3.73%"
"Sep 07, 2015","16.100","16.100","16.450","15.900","35.21K","-2.13%"
"Sep 04, 2015","16.450","16.100","16.600","16.100","123.12K","-0.30%"
"Sep 03, 2015","16.500","16.250","16.800","15.100","158.49K","4.76%"
"Sep 02, 2015","15.750","15.900","16.000","15.600","88.70K","-1.56%"
"Sep 01, 2015","16.000","16.600","16.600","15.900","332.19K","-2.44%"
"Aug 28, 2015","16.400","16.150","16.650","16.150","201.92K","-0.61%"
"Aug 27, 2015","16.500","16.050","16.800","16.050","455.77K","2.48%"
"Aug 26, 2015","16.100","16.000","16.300","15.050","183.17K","2.55%"
"Aug 25, 2015","15.700","14.650","16.000","14.650","241.83K","6.80%"
"Aug 24, 2015","14.700","15.300","15.300","14.100","466.35K","-7.84%"
"Aug 21, 2015","15.950","16.000","16.400","15.750","81.45K","-3.04%"
"Aug 20, 2015","16.450","16.550","17.100","16.450","201.59K","-3.80%"
"Aug 19, 2015","17.100","16.850","17.350","16.850","242.41K","1.18%"
"Aug 18, 2015","16.900","16.750","17.000","16.750","36.33K","0.30%"
"Aug 17, 2015","16.850","16.900","17.000","16.650","147.37K","-0.30%"
"Aug 14, 2015","16.900","17.500","17.500","16.800","200.82K","-2.03%"
"Aug 13, 2015","17.250","17.400","17.650","17.000","224.88K","-0.58%"
"Aug 12, 2015","17.350","18.100","18.100","17.250","217.84K","-3.88%"
"Aug 11, 2015","18.050","18.100","18.400","18.050","77.19K","-0.82%"
"Aug 10, 2015","18.200","17.900","18.250","17.900","40.93K","-0.27%"
"Aug 07, 2015","18.250","18.900","18.900","18.000","155.38K","-2.67%"
"Aug 06, 2015","18.750","18.950","18.950","18.650","168.74K","-1.06%"
"Aug 05, 2015","18.950","18.600","18.950","18.450","131.00K","2.99%"
"Aug 04, 2015","18.400","17.900","18.500","17.850","352.69K","2.22%"
"Aug 03, 2015","18.000","18.000","18.200","17.950","131.81K","0.56%"
"Jul 31, 2015","17.900","17.800","18.200","17.700","295.55K","0.85%"
"Jul 30, 2015","17.750","17.950","17.950","17.500","188.27K","2.31%"
"Jul 29, 2015","17.350","18.300","18.300","17.350","102.28K","-2.80%"
"Jul 28, 2015","17.850","17.650","18.000","17.500","198.41K","2.00%"
"Jul 27, 2015","17.500","18.000","18.150","17.500","183.33K","-4.11%"
"Jul 24, 2015","18.250","18.550","19.250","18.250","171.52K","-3.44%"
"Jul 23, 2015","18.900","19.500","19.500","18.600","32.54K","-1.56%"
"Jul 22, 2015","19.200","19.450","19.700","19.000","146.96K","-2.78%"
"Jul 21, 2015","19.750","19.700","19.750","19.200","165.57K","1.28%"
"Jul 20, 2015","19.500","19.100","19.800","19.100","255.60K","1.04%"
"Jul 17, 2015","19.300","19.500","19.550","19.100","432.36K","-1.03%"
"Jul 16, 2015","19.500","19.300","19.700","19.250","289.73K","2.63%"
"Jul 15, 2015","19.000","19.400","19.600","18.900","248.32K","-2.56%"
"Jul 14, 2015","19.500","19.150","19.650","19.150","1.25M","1.83%"
"Jul 13, 2015","19.150","18.750","19.300","18.650","1.03M","4.36%"
"Jul 10, 2015","18.350","17.800","18.600","17.800","168.39K","4.86%"
"Jul 09, 2015","17.500","17.000","17.500","16.950","525.86K","2.34%"
"Jul 08, 2015","17.100","16.900","17.300","16.850","114.69K","-0.29%"
"Jul 07, 2015","17.150","17.250","17.500","16.950","166.21K","-2.28%"
"Jul 06, 2015","17.550","17.450","17.550","17.300","118.65K","0.00%"
"Jul 03, 2015","17.550","17.500","17.600","17.400","27.86K","-0.28%"
"Jul 02, 2015","17.600","17.600","17.600","17.350","503.97K","2.03%"
"Jul 01, 2015","17.250","17.100","17.500","17.000","133.90K","3.60%"
"Jun 30, 2015","16.650","16.600","17.300","16.600","483.17K","-2.63%"
"Jun 29, 2015","17.100","17.000","17.550","17.000","105.71K","-1.16%"
"Jun 26, 2015","17.300","16.900","17.303","16.700","296.64K","2.67%"
"Jun 25, 2015","16.850","17.550","17.600","16.650","642.07K","-3.99%"
"Jun 24, 2015","17.550","17.500","17.900","17.500","49.74K","-0.28%"
"Jun 23, 2015","17.600","17.250","17.600","17.250","167.80K","0.00%"
"Jun 22, 2015","17.600","18.000","18.000","17.400","550.87K","0.00%"
"Jun 19, 2015","17.600","17.900","17.900","17.550","355.52K","-1.12%"
"Jun 18, 2015","17.800","18.000","18.000","17.650","106.46K","0.00%"
"Jun 17, 2015","17.800","17.200","17.800","17.200","221.22K","2.30%"
"Jun 16, 2015","17.400","17.750","17.750","17.000","207.74K","1.16%"
"Jun 15, 2015","17.200","17.000","17.450","16.850","80.50K","-1.71%"
"Jun 12, 2015","17.500","18.750","18.750","17.450","301.33K","-3.31%"
"Jun 11, 2015","18.100","18.350","18.850","17.550","308.12K","-2.69%"
"Jun 10, 2015","18.600","18.250","18.600","17.950","180.84K","4.79%"
"Jun 09, 2015","17.750","18.000","18.000","17.650","85.40K","-0.84%"
"Jun 08, 2015","17.900","18.200","18.750","17.650","122.73K","-0.56%"
"Jun 05, 2015","18.000","18.000","18.250","17.650","310.53K","-2.17%"
"Jun 04, 2015","18.400","18.750","18.750","18.150","193.51K","-1.34%"
"Jun 03, 2015","18.650","19.000","19.000","18.500","490.54K","-1.32%"
"Jun 02, 2015","18.900","18.900","19.000","18.200","168.59K","-0.53%"
"Jun 01, 2015","19.000","18.850","19.200","18.850","75.11K","-2.31%"
"May 29, 2015","19.450","18.400","19.450","18.400","552.04K","4.01%"
"May 28, 2015","18.700","18.550","18.950","18.500","93.65K","0.54%"
"May 27, 2015","18.600","19.450","19.450","18.150","508.22K","-2.11%"
"May 26, 2015","19.000","19.750","19.950","18.700","239.63K","-5.00%"
"May 22, 2015","20.000","19.800","20.150","19.475","424.98K","0.50%"
"May 21, 2015","19.900","19.200","20.050","18.950","272.76K","1.53%"
"May 20, 2015","19.600","20.950","20.950","19.450","638.32K","-6.67%"
"May 19, 2015","21.000","20.950","21.275","20.950","1.76M","-1.87%"
"May 18, 2015","21.400","21.050","21.450","21.000","596.65K","1.66%"
"May 15, 2015","21.050","20.550","21.400","20.500","1.61M","2.43%"
"May 14, 2015","20.550","20.050","20.800","20.050","258.20K","0.00%"
"May 13, 2015","20.550","19.550","20.900","19.550","376.02K","3.53%"
"May 12, 2015","19.850","19.500","20.000","19.500","239.91K","0.51%"
"May 11, 2015","19.750","19.151","19.850","19.150","219.57K","2.33%"
"May 08, 2015","19.300","18.901","19.500","18.600","263.01K","2.93%"
"May 07, 2015","18.750","19.000","19.400","18.500","378.35K","-2.60%"
"May 06, 2015","19.250","19.550","19.700","19.000","708.05K","-3.02%"
"May 05, 2015","19.850","20.000","20.150","19.600","959.74K","-0.50%"
"May 01, 2015","19.950","20.250","20.300","19.900","35.69K","-2.21%"
"Apr 30, 2015","20.400","19.500","20.550","19.450","901.82K","4.35%"
"Apr 29, 2015","19.550","19.350","19.700","19.200","1.26M","2.62%"
"Apr 28, 2015","19.050","19.150","19.300","18.900","883.14K","-0.78%"
"Apr 27, 2015","19.200","19.150","19.500","18.900","527.14K","0.26%"
"Apr 24, 2015","19.150","18.500","19.500","18.350","689.49K","3.51%"
"Apr 23, 2015","18.500","18.500","18.550","18.250","505.54K","0.54%"
"Apr 22, 2015","18.400","18.700","18.700","18.100","1.08M","0.55%"
"Apr 21, 2015","18.300","18.250","18.600","18.100","659.08K","0.00%"
"Apr 20, 2015","18.300","18.600","18.600","17.850","638.90K","-1.08%"
"Apr 17, 2015","18.500","18.150","18.800","18.000","886.14K","-2.37%"
"Apr 16, 2015","18.950","17.600","19.200","17.600","1.75M","7.37%"
"Apr 15, 2015","17.650","16.500","18.000","16.500","569.64K","2.92%"
"Apr 14, 2015","17.150","16.700","17.150","16.400","282.01K","2.69%"
"Apr 13, 2015","16.700","16.600","16.750","16.000","188.22K","2.77%"
"Apr 10, 2015","16.250","16.400","16.500","15.800","738.68K","2.85%"
"Apr 09, 2015","15.800","15.800","16.300","15.650","341.19K","-3.66%"
"Apr 08, 2015","16.400","16.700","16.700","16.200","1.03M","0.31%"
"Apr 07, 2015","16.350","16.000","16.350","16.000","996.37K","2.83%"
"Apr 02, 2015","15.900","15.450","15.900","15.450","541.28K","3.58%"
"Apr 01, 2015","15.350","15.600","15.750","15.200","392.92K","0.00%"
"Mar 31, 2015","15.350","15.000","15.700","15.000","620.88K","1.32%"
"Mar 30, 2015","15.150","14.600","15.300","14.600","491.75K","2.36%"
"Mar 27, 2015","14.800","14.350","14.900","14.350","386.60K","2.42%"
"Mar 26, 2015","14.450","14.250","14.550","14.000","348.41K","4.33%"
"Mar 25, 2015","13.850","13.800","14.150","13.600","714.53K","0.00%"
"Mar 24, 2015","13.850","12.500","14.000","12.500","1.63M","8.63%"
"Mar 23, 2015","12.750","12.900","12.900","12.300","35.14K","0.00%"
"Mar 20, 2015","12.750","12.900","12.900","12.650","416.57K","-0.39%"
